year,cash_total,cash_social_security,cash_other_insurance,cash_social_assistance,inkind_total,inkind_nonmarket,inkind_market,inkind_social_security,inkind_social_assistance,cash_total_yoy,cash_social_assistance_yoy,inkind_total_yoy,inkind_social_assistance_yoy
2017,459179.0,38769.0,316394.0,104016.0,1254859.0,984792.0,270067.0,43075.0,220663.0,,,,
2018,526108.0,45333.0,335134.0,145641.0,1304166.0,1036005.0,268161.0,45428.0,217165.0,14.575797238114108,40.01788186432857,3.929286079153127,-1.5852227151810672
2019,578218.0,51242.0,365699.0,161277.0,1344888.0,1065756.0,279132.0,49907.0,222033.0,9.904810419153476,10.735987805631652,3.122455270264668,2.2416135196739795
2020,652269.0,87141.0,388673.0,176455.0,1401003.0,1111746.0,289257.0,52680.0,228782.0,12.806761463669414,9.411137359945943,4.17246640612452,3.039638251971555
2021,679948.0,83206.0,409690.0,187052.0,1555992.0,1154947.0,401045.0,83226.0,310049.0,4.243494631816014,6.005497152248451,11.062717210455641,35.52158823683682
2022,706830.0,74262.0,444306.0,188262.0,1660056.0,1212744.0,447312.0,94110.0,344920.0,3.9535376234653308,0.6468789427538812,6.687952123147167,11.246931936564874
2023,748896.0,80748.0,472919.0,195229.0,1554600.0,1243473.0,311127.0,59521.0,242988.0,5.951360298798858,3.700693714079306,-6.3525567812170225,-29.55235996752871
2024,782829.0,84749.0,497514.0,200566.0,1628399.0,1282964.0,345435.0,74156.0,260829.0,4.531069734649407,2.7337127168607145,4.747137527338219,7.342337893229289
